Nota;Etiqueta
after all i was stupid to be used because i worked hard to adjust myself to the atmosphere in the presidents room under the direction of the director .;Abuse
of course ido not want to die but it is suffering to live .;Abuse
whatever this new accusation is it has beaten me .;Abuse
passed in great anxiety finally painted the background in the sketch after harassing about to no purpose in the heat .;Abuse
the most charming intelligent and important people i have known have liked me and the list of my enemies is very flattering to me .;Abuse
it has prevented my getting anything like the full value out of my talent and the past three years has made work a torture to do at all .;Abuse
i hve receved hate letters telling me to leave school telling me that faggots are not welcome and that i am a fag .;Abuse
i was burning in hell every day .;Abuse
or write faggot on my locker or send me letters telling me that i should go to another shcool because i am a faggot or say they should kill me because i am an ugly faggot and they should kill me .;Abuse
it is like they beat the hellout of me with their stupid words .;Abuse
my first memories as a child are of being raped repeatedly .;Abuse
so much pressure is placed on the students to do well that i could not do it anymore .;Abuse
may you always remember i loved you once but died hating you .;Anger
i am leaving you with your worries in this sweet cesspool .;Anger
the worst they can do for one in this world is to hang you and if there is any eternal torment worse than mine i will have to be shown i do not know if it is of much importance but i feel that the only method of dying without pain is to use carbon monoxide .;Anger
it is obvious hc vever that i have pondered it and decided i would hurt them less dead than alive .;Anger
dear betty i hate you .;Anger
i feel disgusted when i see guys who make a fuss about the entrance examination all the time .;Anger
therefore i die although i would like to enter a firstrate university .;Anger
i envy others .;Anger
i cannot forgive the president and the director .;Anger
i cannot but feel angry .;Anger
from the agony i have been through fo o reason whatever i can only come to the logical conclusion that if there is a god that he is not so good as is made out .;Anger
the world i am living in now is the icily transparent universe of sickly nerves .;Anger
i worship you that is myfault .;Anger
great anxiety .;Anger
the constitution will remain forever you are finished .;Anger
the constitution means nothing to you .;Anger
you are not interested .;Anger
i do it so it feels like hell .;Anger
to whom it may concern goodbye you old prick and when i mean prick you are a prick .;Anger
hope you fall with the rest of us you yellow bastard .;Anger
no one ever ever had a more devoted or more understanding wife .;Anger
weak women have done it .;Anger
it takes humility not pride .;Anger
NAME man who ejaculates prematurely should never have been born .;Anger
i will go through with my heels at your hungry ribs .;Anger
for me the present university is nothing .;Anger
it is just like cows and pigs waiting in a wooden stable to be pulled out to the slaughter house .;Anger
NAME and his parents must get the severe punishment so that they do not spoil the life of another girl .;Anger
fuck them .;Anger
some asshole painted faggot on my locker .;Anger
fuck them fuck everyone i hate this fucking life know .;Anger
yesterday in the locker room some assholes said NAME is such a pussy and faggot .;Anger
he is an ugly stupid faggot and we should kill him .;Anger
i do not know what to fucking thing now .;Anger
then are just fucked assholes .;Anger
they do not fucking know me they are all assholes .;Anger
i hate everyone know .;Anger
i am a better person than any one of them and i fucking know that for sure .;Anger
they should all be in prison they are horrible i hate every fucking one so fuck them .;Anger
i know this that they are assholes .;Anger
so fucking what .;Anger
i am like evey fuckin other person just i am gay so fucking what .;Anger
assholes .;Anger
i should paint asshole on everyones locker before i die .;Anger
and i hope the assholes go to hell .;Anger
i am just like fucking NAME else god fuck shit .;Anger
